"{""Light"":{""Led410Enable"":true;""Led470Enable"":true;""Led560Enable"":false;""Led410Value"":15.0;""Led470Value"":45.0;""Led560Value"":0.0};""Excitation"":{""mode"":1;""discontinuous"":true;""interval_time"":1200;""continuous_time"":120};""Channels"":[{""Name"":""CH1"";""ChanelColor"":""#00000000"";""Roi1"":""0;0;90;90"";""Roi2"":""0;0;90;90""}};{""Name"":""CH2"";""ChanelColor"":""#00000000"";""Roi1"":""0;0;90;90"";""Roi2"":""0;0;90;90""}}];""Fps"":10.0}",,,,,
TimeStamp,Events,CH1-410,CH1-470,CH2-410,CH2-470
0.0,,242.02669619802506,254.09790269934635,246.48335958851922,254.0942466649031
0.1,,242.26661378114676,254.91524590081568,245.81728423980024,253.6037122796819
0.2,,242.4539249937451,255.39914193544354,245.55653006613198,251.33855675158634
0.3,,241.6954186546641,255.35605307381672,245.34465755199432,251.33761337755098
0.4,,241.93517829012234,253.69247511505426,245.6513607937444,251.5390402339337
0.5,,242.0159173674231,254.0972924076346,245.67973381155136,252.56169184509568
0.6,,242.43745710903474,255.89468910976927,246.66058906012867,252.9420675443864
0.7,,243.1169697634252,256.3854556226753,245.89869745240344,253.38206875127509
0.8,,243.17038557778807,256.11566091976783,245.4958160728619,252.80142277537962
0.9,,243.097489126808,257.7990195818432,246.40783841685177,252.26634599372957
1.0,,242.98123882057948,255.39057640315323,247.29655115751856,253.550767212087
1.1,,242.96734297420448,256.9326442227911,245.7817691441882,252.50531511199847
1.2,,243.49566020493646,256.8499853781759,246.61260750019756,253.36487918792696
1.3,,242.376861840167,255.35955707027168,245.3564071022401,253.0827894653024
1.4,,242.85297129692844,255.43703933441793,246.65586597775953,254.12690453655722
1.5,,242.72607754443175,254.57947878894322,246.24429638429774,254.66301308944563
1.6,,243.7430363634014,255.93692301301616,247.19727344277882,252.45293430795266
1.7,,243.3826264887824,256.3364967787375,247.10358810806034,256.2641393988047
1.8,,243.48061437566994,256.03174545225806,247.50958927551744,255.03929876818256
1.9,,243.10340910310381,255.71315067902572,246.47226839762533,253.31357880772148
2.0,,243.57168576869293,256.70103777788853,245.66628847518268,251.89791345193882
2.1,,243.32188566059943,257.58643245619476,246.6782545166604,254.29131114676179
2.2,,242.5444635227378,256.1875203110089,246.12658566671124,254.30791669687005
2.3,,242.62995644668,255.90123149489116,245.95887730721032,253.56143786337933
2.4,,243.27026995989317,255.70263965752486,246.82645541495398,254.67887845065857
2.5,,242.30486184980225,255.34665998116452,246.02533979893937,253.0638101886368
2.6,,242.31425276483438,255.7933655254318,245.6331379817663,252.33998749795688
2.7,,242.99014420396182,255.62882050531186,246.1057553446799,252.4822094706957
2.8,,244.1252862270328,257.73557149423436,247.25396400852455,252.79204246565283
2.9,,243.33905312184208,256.5662050124458,247.10442576594156,253.98061297437812
3.0,,243.30891214883522,257.01161670241197,246.5744385706089,254.48601623305905
3.1,,243.8445754920183,259.48029999896767,247.49016109297895,256.1173905066745
3.2,,242.68626588682298,256.13893530722504,245.88474070700406,252.9311628372878
3.3,,244.01136054690878,257.5969406014706,246.98359048798736,252.75058468043645
3.4,,244.2130291157327,257.18436639779856,246.43478416590295,253.21303319429816
3.5,,243.31644878442017,257.2289328394165,247.41519977173616,254.79149374200452
3.6,,243.18123843515446,255.84871803848097,246.6208997772893,254.96998280746402
3.7,,241.96007982839618,255.32273720522775,246.13412174285847,253.32636464763254
3.8,,242.49041633257795,254.2444280113321,246.49429920668612,254.55651078336763
3.9,,242.92836269196997,257.6062217996445,246.12392625342645,253.71022252601904
4.0,,243.91886114995802,258.04561963244277,245.8506361771249,253.2590929054605
4.1,,242.7467448747033,255.18527360174832,246.5842084826576,253.91261394046316
4.2,,242.80500197525862,257.35420955467583,246.6570651261233,253.944462257171
4.3,,243.77583434601274,257.27475638227367,247.23742136396336,254.0788628848026
4.4,,241.99024677926613,255.7968465514115,245.54159856979615,252.57214796120405
4.5,,241.63187099585576,255.05579827797047,245.90948476395627,252.55253399121395
4.6,,242.36906880094602,255.46431724319422,245.2967244806671,252.94666943374276
4.7,,242.74566803900657,256.701836257144,245.4046269117667,251.28712412752657
4.8,,242.30152041295824,255.2719656191769,245.52140928879786,251.8855931009218
4.9,,242.24747204615767,254.63843091180144,245.63441703289956,253.38582020342307
5.0,,243.85189882364853,258.1837282205356,245.88530675279262,252.18098423919935
5.1,,242.31336222503677,255.52738078845928,246.15387949914054,253.5250112654233
5.2,,243.19023991920082,257.1857424554908,246.89056999938654,253.61172650004562
5.3,,242.4832755849826,255.71800439722023,246.09904687058665,252.04648475505826
5.4,,242.7932967296483,256.77840629776784,246.6952860259475,253.74401875538217
5.5,,242.31719578984533,254.20809912981386,245.3908372920462,253.48131620074585
5.6,,242.67219207890454,256.5723019026928,246.2860506196409,253.1117560321641
5.7,,244.04921606650086,257.68880674200466,248.2019871668826,255.8588002728344
5.8,,243.43781013163704,256.0381445103717,246.14677574044163,253.8772440728561
5.9,,243.61840763381252,257.45809229904245,247.05799799586674,252.98469281315835
6.0,,244.01190570085978,257.85390010461845,246.62456219644898,254.32232354732298
6.1,,243.02296675779985,256.38638685691046,246.2729678358589,252.86871390051184
6.2,,242.4460353726661,256.4080811092611,246.53850216722844,254.37343690377963
6.3,,243.19329947539302,255.88504483070855,247.66420897678557,254.44672764245988
6.4,,242.73650259471955,255.26870200754806,246.9166888527678,254.50034326404977
6.5,,243.41225321192198,255.51852641846813,246.35087365696444,255.89477735441935
6.6,,242.85752530749616,256.5793821237661,246.0749559009604,252.69745894205474
6.7,,243.0274898133821,256.5049013865631,246.20992563023486,252.33508743869388
6.8,,243.48198991569973,255.4346943292131,246.89829951782573,254.04314022745257
6.9,,242.67220984459237,256.5072076198046,246.8534121324195,254.49723217820414
7.0,,242.59692245974344,256.6264451518871,245.53970810661747,253.86311725814576
7.1,,242.4665991963386,257.36161966623973,245.1013778760503,253.3263458679217
7.2,,242.84520694817553,256.1310780874872,246.21564636116747,253.0625440019964
7.3,,242.14387341516795,256.71996538075996,245.8056016115113,252.5313720607131
7.4,,243.44486400584302,255.50420201409617,246.83929142455167,252.85506910167396
7.5,,242.67986914753467,256.9779353684919,246.679418169473,253.06576241875774
7.6,,242.96917565298554,257.0785683758817,245.54572328367755,252.5601165660996
7.7,,241.41212420280206,254.53950280018273,245.14523913218056,253.06642821168532
7.8,,241.96178986661738,255.92564758125238,245.0989966795725,253.3414693610065
7.9,,242.611591187731,254.22147437214764,246.33697346382465,252.6420522831384
8.0,,243.67545444349574,257.07393310370304,246.0968610162544,252.62479227470348
8.1,,242.74043146073777,256.3938124636,245.4531015006862,252.60404612005323
8.2,,241.88444508038503,255.27618343369295,245.48936199384494,252.8473203129575
8.3,,242.21797701857076,256.19756556398335,244.77986500394695,252.25317982535384
8.4,,241.14961390807844,255.1002798737379,244.34986345813292,250.2345109666959
8.5,,242.09703707604774,254.26002952553077,245.05265252528528,251.14202404423727
8.6,,241.9718199584389,255.6582038594307,246.22164019391346,253.97596948289444
8.7,,242.95900756695215,255.71785722421347,245.4438122489481,253.4236614725258
8.8,,242.3136500653405,256.57772152352675,246.1286281048403,252.64583306147478
8.9,,242.66999867097599,256.2281701313157,245.42708078115746,252.5270114837628
9.0,,242.4807415383307,256.6112134135294,246.22923748083616,253.91594463455633
9.1,,242.55586986575364,257.8706326844651,245.60223397228907,252.9006524288958
9.2,,242.1688830511571,256.51143944540735,246.0846590989196,252.33805700822458
9.3,,242.74622651283147,254.3227912405979,245.7957952129941,253.0263168391894
9.4,,242.5904374412085,254.98366757361086,247.07355468179736,253.21522506931188
9.5,,241.39743496135912,254.7593431234492,245.01756331464225,252.4355115689721
9.6,,241.5739581113729,255.18821996336771,243.74990728789027,250.5286776374535
9.7,,241.82068773107792,255.27929898787102,245.63632078589077,252.07165668545616
9.8,,241.12059954518918,254.423266458467,245.78801449398279,252.8528653765177
9.9,,242.2067072205569,256.2614454319516,244.89644769369565,251.36007979912299
10.0,,242.21570987389586,254.91979592709546,246.44954524342108,252.55913738775985
10.1,,241.5958407970861,255.28717327380983,244.07459832257334,251.57059783826455
10.2,,242.12561541291254,255.14035680932588,246.51292648267756,252.9848467321461
10.3,,243.09252800922894,257.31096195735574,245.50947433291654,253.5732984571375
10.4,,242.42301823832133,255.94568796662855,246.08810516235735,254.0020920357271
10.5,,242.9236109143734,255.41645822904147,246.3351994540042,254.02793431589248
10.6,,241.89872856499412,254.39323621262187,245.99427684183382,251.92362340914102
10.7,,241.9222052142303,256.8881189746243,246.2631450391835,253.76488455495635
10.8,,243.01899212700258,256.89583496584487,246.76725055137138,253.08042161810982
10.9,,242.99867817628885,256.9738808381655,245.75452655918656,253.58617775440516
11.0,,243.2699937108763,256.21955372603094,246.1905993410316,252.3934678876743
11.1,,243.03103613571514,256.06646077968446,245.54447294441115,252.3530739494326
11.2,,242.98133740141233,254.61215329634038,246.3550750633112,253.92393042556867
11.3,,242.93587271524078,256.90496693348206,245.40801564770376,252.01954576752036
11.4,,241.50415458165526,254.837124205895,245.16369132210912,251.86629078896502
11.5,,241.32743166811014,255.61401642460237,245.1294651874445,252.2555016894092
11.6,,241.60258381162257,256.03820333223234,246.03168872848076,252.9213881138456
11.7,,242.83125296809825,256.26915882837676,246.06149499446545,253.28102872768073
11.8,,241.34415860077718,255.02602306073896,245.1668276662588,252.36434253802435
11.9,,242.3298451240931,256.5629863067906,245.52415310975857,251.53132872601174
12.0,,242.9865221722036,256.0139912024565,246.42466733562395,255.3567508469401
12.1,,242.4799452592465,256.5348514200257,246.07371094348116,254.01962522371716
